index,top_pairs,processed_func
171164,"[(180867, 30.521819173280818), (179748, 29.8936557284489), (180878, 22.262465051863263), (179335, 21.65366642232088), (187387, 21.553292738223544), (180865, 20.92172213665928), (187899, 19.922156564896333), (187955, 19.431906265535364), (187900, 19.288594279069756), (187954, 18.886883154610832), (180876, 18.64220388622443), (187913, 17.511998108131163), (181615, 16.573394458520603), (178622, 16.417977924235533), (184816, 16.35622168744142), (182367, 15.860112813899352), (187914, 15.51618093357851), (188207, 15.433337487778282), (187928, 15.418177745834885), (178699, 15.39656393670025)]","status_t MediaPlayerService::Client::getParameter(int key, Parcel *reply) {
    ALOGV(""[%d] getParameter(%d)"", mConnId, key);
    sp<MediaPlayerBase> p = getPlayer();
 if (p == 0) return UNKNOWN_ERROR;
 return p->getParameter(key, reply);
}
"
60189,"[(183997, 14.112542506055881), (181406, 13.353355050745597), (181478, 12.966775498332444), (178438, 12.782436452289037), (181477, 11.919665652885156), (184878, 11.862951367478445), (181472, 11.627259570663664), (181471, 11.450398453933955), (182444, 11.067800211077762), (188407, 10.478907071654145), (185476, 10.049161587064367), (186926, 10.02252070565168), (181945, 9.81913889945418), (181468, 9.483480497931637), (181470, 9.42659005152838), (182646, 8.89034417331572), (181469, 8.881680231494538), (182449, 8.79333645881517), (181838, 8.280959015179725), (178671, 7.892467273855224)]","static void r_bin_object_delete_items(RBinObject *o) {
	ut32 i = 0;
	if (!o) {
		return;
	}
	r_list_free (o->entries);
	r_list_free (o->fields);
	r_list_free (o->imports);
	r_list_free (o->libs);
	r_list_free (o->relocs);
	r_list_free (o->sections);
	r_list_free (o->strings);
	r_list_free (o->symbols);
	r_list_free (o->classes);
	r_list_free (o->lines);
	sdb_free (o->kv);
	if (o->mem) {
		o->mem->free = mem_free;
	}
	r_list_free (o->mem);
	o->mem = NULL;
	o->entries = NULL;
	o->fields = NULL;
	o->imports = NULL;
	o->libs = NULL;
	o->relocs = NULL;
	o->sections = NULL;
	o->strings = NULL;
	o->symbols = NULL;
	o->classes = NULL;
	o->lines = NULL;
	o->info = NULL;
	o->kv = NULL;
	for (i = 0; i < R_BIN_SYM_LAST; i++) {
		free (o->binsym[i]);
		o->binsym[i] = NULL;
	}
}
"
25306,"[(180952, 25.198569499681216), (178299, 24.392637678702165), (178538, 17.712042797721118), (178290, 17.557998523379197), (178268, 17.502313317742104), (179946, 16.209048113027112), (179947, 16.006442265813014), (179708, 15.599812984462933), (180002, 15.536946640829147), (178191, 15.407739843341128), (180003, 14.951723641559589), (178147, 14.425233230947166), (180000, 14.18818516944304), (180507, 14.163288994362327), (178475, 14.089555338555337), (179038, 13.112729974720041), (181858, 12.671808932187206), (181856, 12.53951358008878), (181859, 12.413157955464964), (187457, 11.238618837676764)]","xscale2pmu_write_int_enable(u32 val)
{
	asm volatile(""mcr p14, 0, %0, c4, c1, 0"" : : ""r"" (val));
}
"
161592,"[(184677, 30.84040833438147), (185525, 28.76164176893146), (185427, 28.31911409211203), (186771, 27.703000151271816), (186011, 5.9794586495796835), (185524, 5.152326745244286), (185418, 4.417854961840222), (184612, 4.139909469905713), (184843, 3.8900591490837124), (184357, 3.852253311876288), (184837, 3.817360280689618), (185213, 3.708463849345145), (185476, 3.6652404227902897), (186196, 3.4430158555435337), (184465, 3.3959944262762107), (185223, 3.353536763642504), (184391, 3.121221034727378), (185771, 2.955145680829565), (185009, 2.948456004192417), (186087, 2.934672596923578)]","void AddSystemStrings(content::WebUIDataSource* html_source) {
  LocalizedString localized_strings[] = {
    {""systemPageTitle"", IDS_SETTINGS_SYSTEM},
#if !defined(OS_MACOSX)
    {""backgroundAppsLabel"", IDS_SETTINGS_SYSTEM_BACKGROUND_APPS_LABEL},
#endif
    {""hardwareAccelerationLabel"",
     IDS_SETTINGS_SYSTEM_HARDWARE_ACCELERATION_LABEL},
    {""proxySettingsLabel"", IDS_SETTINGS_SYSTEM_PROXY_SETTINGS_LABEL},
  };
  AddLocalizedStringsBulk(html_source, localized_strings,
                          arraysize(localized_strings));

  SystemHandler::AddLoadTimeData(html_source);
}
"
5366,"[(187330, 53.193618531472374), (187327, 44.74237483456536), (178159, 39.425702744330344), (177950, 39.40184072029878), (188141, 36.71674763096261), (187325, 35.94279526861773), (184751, 33.69276031714058), (178047, 32.68408275583575), (183305, 28.632014498815572), (178600, 25.300202167710502), (178029, 24.005177951117883), (184491, 23.037655888678408), (187324, 22.8956183760772), (178030, 21.434447165306615), (179587, 21.419117139894553), (187443, 19.95148203842227), (179903, 18.376538422531024), (178531, 18.184897644033274), (181313, 17.39845195358116), (180955, 17.27355607423668)]","  static void  Ins_CALL( INS_ARG )
  {
    PCallRecord  pCrec;

    if ( BOUNDS( args[0], CUR.numFDefs ) || !CUR.FDefs[args[0]].Active )
    {
      CUR.error = TT_Err_Invalid_Reference;
      return;
    }

    if ( CUR.callTop >= CUR.callSize )
    {
      CUR.error = TT_Err_Stack_Overflow;
      return;
    }

    DBG_PRINT1(""%d"", args[0]);

    pCrec = &CUR.callStack[CUR.callTop];

    pCrec->Caller_Range = CUR.curRange;
    pCrec->Caller_IP    = CUR.IP + 1;
    pCrec->Cur_Count    = 1;
    pCrec->Cur_Restart  = CUR.FDefs[args[0]].Start;

    CUR.callTop++;

    INS_Goto_CodeRange( CUR.FDefs[args[0]].Range,
                        CUR.FDefs[args[0]].Start );

    CUR.step_ins = FALSE;
  }
"
131260,"[(185300, 35.259221756447765), (185979, 34.520393126523516), (185977, 33.52338565627912), (185302, 32.17075086032407), (185301, 32.17075086032407), (186059, 30.19574653745708), (186272, 29.108271517880123), (185981, 27.937055269150136), (186227, 27.77811035592882), (187305, 27.724795506782705), (183861, 26.94660832012159), (184788, 25.98940912480641), (184787, 25.829348189015676), (184758, 25.692134849351127), (184769, 23.941684548174244), (184770, 23.89440182271397), (185033, 23.41444675325478), (186418, 23.351193258889154), (187291, 23.31431118662358), (184774, 22.952320267579438)]","static void callWithScriptStateExecutionContextVoidMethodMethodCallback(const v8::FunctionCallbackInfo<v8::Value>& info)
{
    TRACE_EVENT_SET_SAMPLING_STATE(""Blink"", ""DOMMethod"");
    TestObjectPythonV8Internal::callWithScriptStateExecutionContextVoidMethodMethod(info);
    TRACE_EVENT_SET_SAMPLING_STATE(""V8"", ""V8Execution"");
}
"
55852,"[(180631, 33.45298832713006), (178865, 14.997711965978109), (179849, 13.95478679191837), (183965, 13.520869365584733), (179983, 12.442752579672103), (179848, 11.904458649216366), (181831, 11.587479981086434), (179813, 11.540851756709456), (180138, 10.87430943545155), (182256, 10.686772394127138), (179404, 10.512692344504703), (186894, 10.504854314026247), (180092, 10.48874829576635), (180342, 9.917782952303293), (180295, 9.389095948221895), (179993, 9.374002233993506), (177895, 9.340661560754427), (179896, 9.316585327982121), (182672, 9.257282998157978), (182673, 9.257282998157978)]","static int __tty_fasync(int fd, struct file *filp, int on)
{
	struct tty_struct *tty = file_tty(filp);
	struct tty_ldisc *ldisc;
	unsigned long flags;
	int retval = 0;

	if (tty_paranoia_check(tty, file_inode(filp), ""tty_fasync""))
		goto out;

	retval = fasync_helper(fd, filp, on, &tty->fasync);
	if (retval <= 0)
		goto out;

	ldisc = tty_ldisc_ref(tty);
	if (ldisc) {
		if (ldisc->ops->fasync)
			ldisc->ops->fasync(tty, on);
		tty_ldisc_deref(ldisc);
	}

	if (on) {
		enum pid_type type;
		struct pid *pid;

		spin_lock_irqsave(&tty->ctrl_lock, flags);
		if (tty->pgrp) {
			pid = tty->pgrp;
			type = PIDTYPE_PGID;
		} else {
			pid = task_pid(current);
			type = PIDTYPE_PID;
		}
		get_pid(pid);
		spin_unlock_irqrestore(&tty->ctrl_lock, flags);
		__f_setown(filp, pid, type, 0);
		put_pid(pid);
		retval = 0;
	}
out:
	return retval;
}
"
113541,"[(184487, 61.52687671110043), (178680, 13.088013912370167), (180918, 11.617559140990712), (185949, 10.745995935279366), (184820, 10.686274300498788), (183122, 9.895489847476195), (179712, 9.400785764572953), (183124, 9.13848177499545), (187749, 8.979050527549326), (188041, 8.8178079716081), (188042, 8.8178079716081), (184821, 8.810842655316216), (184822, 8.665064949514209), (181378, 8.641065659012503), (180544, 8.446749895147336), (180535, 8.42299962677692), (182272, 8.374362604072928), (186206, 8.360046360663675), (180952, 8.23526805625626), (180388, 8.15134849923173)]","JSRetainPtr<JSStringRef> AccessibilityUIElement::attributedStringForRange(unsigned location, unsigned length)
{
    return JSStringCreateWithCharacters(0, 0);
}
"
168498,"[(186263, 25.642291670154428), (187047, 20.62363831270663), (184606, 19.356234733020784), (186580, 15.593667600357966), (182202, 11.211290426641716), (178375, 10.820493668031663), (179712, 10.604727371319452), (184526, 10.46963504180712), (186000, 9.954018060704053), (187208, 9.950587592884146), (177767, 9.076242258041448), (186001, 9.030238462736683), (177764, 8.939510789909615), (177761, 8.876412250652901), (177763, 8.84898981180497), (184878, 8.677998312075287), (177760, 8.590002345182459), (182896, 8.54095007405519), (186361, 8.518221921922562), (177757, 8.448882038160766)]","void FileReaderLoader::OnReceivedData(const char* data, unsigned data_length) {
  DCHECK(data);

  if (error_code_)
    return;

  if (read_type_ == kReadByClient) {
    bytes_loaded_ += data_length;

    if (client_)
      client_->DidReceiveDataForClient(data, data_length);
    return;
  }

  unsigned bytes_appended = raw_data_->Append(data, data_length);
  if (!bytes_appended) {
    raw_data_.reset();
    bytes_loaded_ = 0;
    Failed(FileError::kNotReadableErr);
    return;
  }
  bytes_loaded_ += bytes_appended;
  is_raw_data_converted_ = false;
  AdjustReportedMemoryUsageToV8(bytes_appended);

  if (client_)
    client_->DidReceiveData();
}
"
37474,"[(181641, 30.80475846176401), (182228, 21.860117564059177), (179590, 20.11743473546316), (181101, 19.624487539845713), (186139, 18.849270141285647), (181637, 12.459657362073067), (187561, 9.966477952944771), (180051, 9.717988875299948), (186159, 9.27553883754185), (179732, 9.21941870675094), (183109, 8.98594888513857), (180489, 8.708423822284056), (182110, 8.634000521288193), (182109, 8.520402705857602), (179733, 8.420032418747844), (188036, 8.281467344089984), (187933, 7.912748574838638), (187934, 7.737773239749644), (179686, 7.358279854771962), (180486, 7.0205251796555235)]","static void kvm_mmu_mark_parents_unsync(struct kvm_mmu_page *sp)
{
	pte_list_walk(&sp->parent_ptes, mark_unsync);
}
"
92730,"[(179338, 16.622820414349288), (179967, 11.418952591608468), (178925, 10.841500959301888), (182957, 9.342868897923848), (178248, 8.136938972345373), (188248, 7.77367165910785), (185985, 7.258850397968287), (177837, 6.678979859234466), (182646, 5.873603494953998), (181848, 5.774397506114759), (182408, 5.669484635963007), (182190, 5.321155665363322), (179016, 5.184517438186374), (179042, 5.0160793605492415), (178850, 4.800795496738992), (183122, 4.018653730997039), (182958, 3.6844871497742306), (179969, 3.541033419358293), (181402, 3.2912408311702634), (183638, 3.27329732534171)]","static inline bool test_idle_cores(int cpu, bool def)
{
	struct sched_domain_shared *sds;

	sds = rcu_dereference(per_cpu(sd_llc_shared, cpu));
	if (sds)
		return READ_ONCE(sds->has_idle_cores);

	return def;
}
"
164532,"[(187761, 8.039797965704981), (183954, 7.695652145602814), (182782, 7.607786014503456), (186910, 7.537067747059531), (182315, 7.353620964731817), (187205, 7.341789367053769), (177840, 7.264157708590553), (178558, 7.010589877238281), (185451, 6.999444808972857), (185411, 6.989404084825179), (185859, 6.919563099204871), (186613, 6.844916537768869), (187032, 6.8208721294466175), (187759, 6.709403682561669), (183942, 6.69911307382409), (185496, 6.607722661982394), (185868, 6.578102739300344), (185242, 6.560347788681023), (178965, 6.507744410336884), (184550, 6.457197273383818)]","static void codeApplyAffinity(Parse *pParse, int base, int n, char *zAff){
  Vdbe *v = pParse->pVdbe;
  if( zAff==0 ){
    assert( pParse->db->mallocFailed );
    return;
  }
  assert( v!=0 );

  /* Adjust base and n to skip over SQLITE_AFF_BLOB entries at the beginning
  ** and end of the affinity string.
  */
  while( n>0 && zAff[0]==SQLITE_AFF_BLOB ){
    n--;
    base++;
    zAff++;
  }
  while( n>1 && zAff[n-1]==SQLITE_AFF_BLOB ){
    n--;
  }

  /* Code the OP_Affinity opcode if there is anything left to do. */
  if( n>0 ){
    sqlite3VdbeAddOp4(v, OP_Affinity, base, n, 0, zAff, n);
  }
}
"
121046,"[(184950, 22.313462295875297), (178587, 14.782222038091808), (186240, 12.56989088127603), (185109, 12.361168287446493), (183985, 11.916063506599118), (186674, 11.271645814838612), (184949, 10.81012124828466), (186673, 10.634799899278766), (186559, 10.267443605008673), (184921, 10.254269456246348), (185839, 9.999994923251558), (183982, 9.726654652682582), (184642, 9.186151488787852), (183978, 9.076088406906354), (184948, 9.005743347500042), (184380, 8.695857015031587), (184653, 8.632440313869672), (187242, 8.35291331913214), (184913, 7.800229171436765), (179328, 7.73844576800748)]","HttpStreamParser::HttpStreamParser(ClientSocketHandle* connection,
                                   const HttpRequestInfo* request,
                                   GrowableIOBuffer* read_buffer,
                                   const BoundNetLog& net_log)
    : io_state_(STATE_NONE),
      request_(request),
      request_headers_(NULL),
      read_buf_(read_buffer),
      read_buf_unused_offset_(0),
      response_header_start_offset_(-1),
      response_body_length_(-1),
      response_body_read_(0),
      chunked_decoder_(NULL),
      user_read_buf_(NULL),
      user_read_buf_len_(0),
      connection_(connection),
      net_log_(net_log),
      sent_last_chunk_(false),
      weak_ptr_factory_(this) {
  io_callback_ = base::Bind(&HttpStreamParser::OnIOComplete,
                            weak_ptr_factory_.GetWeakPtr());
}
"
34614,"[(180673, 37.64161111759322), (180672, 31.86054061920009), (179380, 27.344235554096493), (179161, 25.445369073836815), (181514, 20.263400905122847), (186329, 17.339217430719504), (183450, 11.681208036480559), (179505, 11.371672233668576), (182405, 10.706791638119387), (181305, 10.37990842096355), (179132, 9.773601203758323), (179869, 9.537338915594763), (178853, 9.410279876602083), (179026, 9.396545472529901), (187119, 9.115066229178607), (179884, 8.947161156380089), (179555, 8.880262895846505), (187367, 8.678348798360261), (178943, 8.469423464331093), (181538, 8.453667966450656)]","static struct sctp_association *__sctp_rcv_lookup(struct sk_buff *skb,
				      const union sctp_addr *paddr,
				      const union sctp_addr *laddr,
				      struct sctp_transport **transportp)
{
	struct sctp_association *asoc;

	asoc = __sctp_lookup_association(laddr, paddr, transportp);

	/* Further lookup for INIT/INIT-ACK packets.
	 * SCTP Implementors Guide, 2.18 Handling of address
	 * parameters within the INIT or INIT-ACK.
	 */
	if (!asoc)
		asoc = __sctp_rcv_lookup_harder(skb, laddr, transportp);

	return asoc;
}
"
74701,"[(183337, 50.91447352693268), (182876, 28.859335322813635), (183336, 21.273563178428148), (183335, 17.064278419179104), (182730, 17.004737973610442), (182731, 16.77963189188311), (182409, 16.683116408656286), (181055, 16.018722658421908), (188132, 15.193295138252916), (179369, 12.390938441370196), (187610, 12.324098944075116), (177874, 10.554720148269363), (182201, 9.885700152762361), (181938, 8.93926053660593), (184223, 8.744196223201179), (183454, 7.759612759898865), (180093, 7.500553622788432), (184756, 7.393482588006231), (187597, 7.331714756632135), (179066, 7.074988874679485)]","static inline void v4l_print_pix_fmt(struct video_device *vfd,
						struct v4l2_pix_format *fmt)
{
	dbgarg2(""width=%d, height=%d, format=%c%c%c%c, field=%s, ""
		""bytesperline=%d sizeimage=%d, colorspace=%d\n"",
		fmt->width, fmt->height,
		(fmt->pixelformat & 0xff),
		(fmt->pixelformat >>  8) & 0xff,
		(fmt->pixelformat >> 16) & 0xff,
		(fmt->pixelformat >> 24) & 0xff,
		prt_names(fmt->field, v4l2_field_names),
		fmt->bytesperline, fmt->sizeimage, fmt->colorspace);
};
"
65409,"[(184786, 33.42505674552363), (184056, 16.89690626511308), (186926, 8.940900935664283), (178216, 7.934736152223376), (178381, 7.81559392914469), (180097, 7.260610936446529), (187491, 7.170526783378768), (179387, 6.934505987085562), (187490, 6.875634131793662), (180139, 6.427774630550077), (180423, 6.270318964450504), (178865, 6.248051493425422), (180598, 6.089909917298948), (187313, 6.015208273069943), (180783, 5.979634818777497), (180169, 5.923401765699477), (177991, 5.608241793934358), (180148, 5.507162832890523), (182799, 5.442141069489597), (180685, 5.402697796168555)]","alloc_init_open_stateowner(unsigned int strhashval, struct nfsd4_open *open,
			   struct nfsd4_compound_state *cstate)
{
	struct nfs4_client *clp = cstate->clp;
	struct nfs4_openowner *oo, *ret;

	oo = alloc_stateowner(openowner_slab, &open->op_owner, clp);
	if (!oo)
		return NULL;
	oo->oo_owner.so_ops = &openowner_ops;
	oo->oo_owner.so_is_open_owner = 1;
	oo->oo_owner.so_seqid = open->op_seqid;
	oo->oo_flags = 0;
	if (nfsd4_has_session(cstate))
		oo->oo_flags |= NFS4_OO_CONFIRMED;
	oo->oo_time = 0;
	oo->oo_last_closed_stid = NULL;
	INIT_LIST_HEAD(&oo->oo_close_lru);
	spin_lock(&clp->cl_lock);
	ret = find_openstateowner_str_locked(strhashval, open, clp);
	if (ret == NULL) {
		hash_openowner(oo, clp, strhashval);
		ret = oo;
	} else
		nfs4_free_stateowner(&oo->oo_owner);

	spin_unlock(&clp->cl_lock);
	return ret;
}
"
3335,"[(177879, 63.874220690988395), (179849, 22.164561468844983), (179983, 20.182573898018706), (179848, 19.320000894136573), (179813, 18.07807906023487), (180342, 16.26261634972545), (180092, 15.542614979012), (179993, 15.087792132016736), (177895, 14.619222881361877), (180295, 14.041625560421966), (180138, 13.479602142039967), (182672, 13.218774575344325), (182673, 13.218774575344325), (179370, 13.03180924238514), (182256, 12.71252818669987), (179910, 12.225922460830722), (180024, 11.642028021343629), (179369, 11.582173576483235), (179984, 11.405703676559005), (178475, 10.851903687393676)]","static uint32_t fdctrl_read_tape(FDCtrl *fdctrl)
{
    uint32_t retval = fdctrl->tdr;

    FLOPPY_DPRINTF(""tape drive register: 0x%02x\n"", retval);

    return retval;
}
"
62000,"[(181064, 18.80998168429502), (181063, 18.80998168429502), (181069, 18.17664364249624), (180956, 17.81592351212066), (181074, 16.942056733023005), (183004, 16.258965604971714), (181102, 15.742733029148997), (181116, 15.637459900179776), (183193, 14.382704518701173), (181110, 13.6562911302188), (183013, 13.60199710272439), (181068, 13.499501514741763), (181072, 13.480750810456815), (180332, 13.424045914710195), (181030, 13.279533083025344), (181131, 13.237633776202193), (181083, 13.224172039383944), (181050, 12.942291847457597), (182065, 12.710922336860289), (181018, 12.34122370269238)]","ikev2_TS_print(netdissect_options *ndo, u_char tpay,
		const struct isakmp_gen *ext,
		u_int item_len _U_, const u_char *ep _U_,
		uint32_t phase _U_, uint32_t doi _U_,
		uint32_t proto _U_, int depth _U_)
{
	return ikev2_gen_print(ndo, tpay, ext);
}
"
25445,"[(185539, 69.73507407717233), (185568, 67.33188216073785), (178834, 66.79065884171791), (178835, 65.76855979108934), (178383, 62.28435699152995), (177983, 59.80957682703965), (185927, 59.50211613978039), (180517, 58.723440165193566), (180894, 53.255796073211634), (180988, 48.819718026512156), (178985, 47.637502569073526), (179035, 46.37074668978917), (186499, 44.94023977357192), (179034, 44.9195869628522), (180896, 44.62701212394143), (183924, 40.80099036146008), (177932, 38.49306041162681), (177933, 37.029000072387774), (178987, 36.79127534664115), (181116, 36.436661717376815)]","static int isBranchInstr(mips_instruction * i)
{
	switch (MIPSInst_OPCODE(*i)) {
	case spec_op:
		switch (MIPSInst_FUNC(*i)) {
		case jalr_op:
		case jr_op:
			return 1;
		}
		break;

	case bcond_op:
		switch (MIPSInst_RT(*i)) {
		case bltz_op:
		case bgez_op:
		case bltzl_op:
		case bgezl_op:
		case bltzal_op:
		case bgezal_op:
		case bltzall_op:
		case bgezall_op:
			return 1;
		}
		break;

	case j_op:
	case jal_op:
	case jalx_op:
	case beq_op:
	case bne_op:
	case blez_op:
	case bgtz_op:
	case beql_op:
	case bnel_op:
	case blezl_op:
	case bgtzl_op:
		return 1;

	case cop0_op:
	case cop1_op:
	case cop2_op:
	case cop1x_op:
		if (MIPSInst_RS(*i) == bc_op)
			return 1;
		break;
	}

	return 0;
}
"
155103,"[(183798, 15.07576527955925), (184650, 9.42042832074463), (184230, 8.928106950825685), (185631, 7.57779224866242), (182302, 7.224034768230994), (188266, 5.728048030123273), (183729, 5.685775270095105), (184235, 5.654992536639334), (185535, 5.053816601197752), (185919, 4.784987195935156), (184211, 4.776876730515142), (185377, 4.436120412856407), (185079, 3.952283077447125), (184645, 3.910938110949364), (183751, 3.7121174803020343), (178494, 3.6805261813401295), (185991, 3.594861912608977), (185570, 3.5659204800512203), (183542, 3.5645788692144555), (185082, 2.8609123015480935)]","void OmniboxViewViews::ClearAccessibilityLabel() {
  friendly_suggestion_text_.clear();
  friendly_suggestion_text_prefix_length_ = 0;
}
"
128110,"[(186072, 10.960471975963403), (186263, 10.70324113477611), (186580, 7.997166524494119), (184954, 6.5342399112956775), (186598, 4.876892756123259), (186597, 4.747009398880786), (186618, 4.672011900609616), (184526, 4.384857396547841), (186000, 4.117686483322534), (187062, 3.8466851960201818), (186001, 3.825931470606721), (184885, 3.640838198115606), (184878, 3.6130093619112866), (186258, 3.5940979223991336), (187065, 3.4603882132783523), (185324, 2.8356824416353827), (187071, 2.7761602590562884), (186520, 2.770606349091044), (187063, 2.6385361345726372), (185816, 2.626931712345936)]","void SynchronousCompositorOutputSurface::SetMemoryPolicy(size_t bytes_limit) {
  DCHECK(CalledOnValidThread());
  bool became_zero = memory_policy_.bytes_limit_when_visible && !bytes_limit;
  bool became_non_zero =
      !memory_policy_.bytes_limit_when_visible && bytes_limit;
  memory_policy_.bytes_limit_when_visible = bytes_limit;
  memory_policy_.num_resources_limit = kNumResourcesLimit;

  if (client_)
    client_->SetMemoryPolicy(memory_policy_);

  if (became_zero) {
    context_provider()->ContextSupport()->SetAggressivelyFreeResources(
        true /* aggressively_free_resources */);
  } else if (became_non_zero) {
    context_provider()->ContextSupport()->SetAggressivelyFreeResources(
        false /* aggressively_free_resources */);
  }
}
"
126360,"[(186770, 16.32332366575295), (178035, 14.394023951230576), (184223, 8.086725569437018), (183454, 6.717908176164139), (185484, 6.433681116727405), (184756, 6.322128918718457), (183439, 6.124358133523413), (184957, 5.998625630679896), (177798, 5.703026185100617), (178664, 5.69757535918172), (185785, 5.476370361299344), (178346, 5.420241468574815), (182608, 5.360981711201916), (177777, 5.222154913872778), (187617, 5.115726591116846), (186659, 5.099841888501156), (187611, 5.029347762945997), (187603, 5.020946612427046), (184187, 4.989050315049442), (186601, 4.973338346433017)]","bool BrowserWindowGtk::GetWindowEdge(int x, int y, GdkWindowEdge* edge) {
  if (!UseCustomFrame())
    return false;

  if (IsMaximized() || IsFullscreen())
    return false;

  if (x < kFrameBorderThickness) {
    if (y < kResizeAreaCornerSize - kTopResizeAdjust) {
      *edge = GDK_WINDOW_EDGE_NORTH_WEST;
    } else if (y < bounds_.height() - kResizeAreaCornerSize) {
      *edge = GDK_WINDOW_EDGE_WEST;
    } else {
      *edge = GDK_WINDOW_EDGE_SOUTH_WEST;
    }
    return true;
  } else if (x < bounds_.width() - kFrameBorderThickness) {
    if (y < kFrameBorderThickness - kTopResizeAdjust) {
      if (x < kResizeAreaCornerSize) {
        *edge = GDK_WINDOW_EDGE_NORTH_WEST;
      } else if (x < bounds_.width() - kResizeAreaCornerSize) {
        *edge = GDK_WINDOW_EDGE_NORTH;
      } else {
        *edge = GDK_WINDOW_EDGE_NORTH_EAST;
      }
    } else if (y < bounds_.height() - kFrameBorderThickness) {
      return false;
    } else {
      if (x < kResizeAreaCornerSize) {
        *edge = GDK_WINDOW_EDGE_SOUTH_WEST;
      } else if (x < bounds_.width() - kResizeAreaCornerSize) {
        *edge = GDK_WINDOW_EDGE_SOUTH;
      } else {
        *edge = GDK_WINDOW_EDGE_SOUTH_EAST;
      }
    }
    return true;
  } else {
    if (y < kResizeAreaCornerSize - kTopResizeAdjust) {
      *edge = GDK_WINDOW_EDGE_NORTH_EAST;
    } else if (y < bounds_.height() - kResizeAreaCornerSize) {
      *edge = GDK_WINDOW_EDGE_EAST;
    } else {
      *edge = GDK_WINDOW_EDGE_SOUTH_EAST;
    }
    return true;
  }

  NOTREACHED();
  return false;
}
"
133078,"[(186009, 31.46997724481298), (183455, 30.203021654937984), (185218, 25.53345826351715), (183869, 22.689967532872046), (186005, 20.840669418932332), (184480, 20.03964560500549), (185341, 19.727211441192512), (184284, 17.036012765820256), (185496, 16.04385033163274), (185086, 14.674293524044696), (185511, 13.07803959242339), (184583, 12.648983868444544), (182202, 11.36613959872612), (182511, 11.270919327032276), (179506, 10.6956073313608), (182474, 10.069365323856328), (185087, 9.876260566242506), (182642, 9.848182251123374), (177757, 9.430056044793293), (178375, 9.23171760154051)]","BOOL CALLBACK FindOwnedWindowsCallback(HWND hwnd, LPARAM param) {
#if !defined(USE_AURA)
  FindOwnedWindowsData* data = reinterpret_cast<FindOwnedWindowsData*>(param);
  if (GetWindow(hwnd, GW_OWNER) == data->window) {
    Widget* widget = Widget::GetWidgetForNativeView(hwnd);
    if (widget)
      data->owned_widgets.push_back(widget);
  }
#endif
  return TRUE;
}
"
160601,"[(188182, 17.174292698051712), (185323, 12.940227251814804), (184285, 11.396229344640574), (184081, 10.992888576879608), (186457, 10.564974781540394), (185485, 10.438769714654901), (183454, 10.225182269022067), (186823, 10.215848633789953), (187061, 9.846008156870843), (186993, 9.71143008458971), (184151, 9.60623707721709), (185324, 9.547496983334236), (185476, 9.520013605664337), (184885, 9.412236639694083), (185998, 9.106062966953875), (185075, 9.06188287633872), (185418, 8.994420465402236), (186813, 8.813544748467375), (184218, 8.732864598504216), (185996, 8.453846078522835)]","void RenderFrameImpl::ExtractSmartClipData(
    const gfx::Rect& rect,
    ExtractSmartClipDataCallback callback) {
#if defined(OS_ANDROID)
  blink::WebString clip_text;
  blink::WebString clip_html;
  GetWebFrame()->ExtractSmartClipData(rect, clip_text, clip_html);
  std::move(callback).Run(clip_text.Utf16(), clip_html.Utf16());
#endif  // defined(OS_ANDROID)
}
"
151117,"[(186933, 22.621002457151793), (187251, 22.52522806440687), (187171, 17.05267852343278), (187302, 16.375086352457345), (183760, 15.952200415089909), (181253, 15.918299281041609), (178685, 14.043143023473206), (184364, 12.549158717682337), (178005, 11.756608849494079), (187197, 11.039625566622991), (178004, 10.239727692083402), (183456, 9.939561314588072), (184176, 9.696266707640348), (183473, 9.419339152514336), (184126, 9.194424293598216), (183630, 8.874048328721514), (181441, 8.393059516895784), (183349, 8.393059516895784), (183629, 8.324663953619647), (184701, 8.197202147191284)]","void DevToolsWindow::ToggleDevToolsWindow(
    Browser* browser,
    const DevToolsToggleAction& action) {
  if (action.type() == DevToolsToggleAction::kToggle &&
      browser->is_devtools()) {
    browser->tab_strip_model()->CloseAllTabs();
    return;
  }

  ToggleDevToolsWindow(
      browser->tab_strip_model()->GetActiveWebContents(),
      action.type() == DevToolsToggleAction::kInspect,
      action, """");
}
"
57722,"[(179125, 47.386198915191756), (182348, 44.85419143256), (179522, 40.906103786150716), (179519, 21.844017615458373), (179124, 16.75860243713964), (179740, 15.850626233018247), (182184, 7.861840726413593), (183331, 7.701239156749298), (179770, 5.546797719556742), (179742, 5.4815589095880775), (179732, 2.736392100716647), (181917, 2.7207435582553314), (179735, 2.5552531273691894), (180528, 2.5142327733836036), (180382, 2.4856644195285034), (188617, 2.478212835826249), (188616, 2.4049711135810736), (180535, 2.3926754948938034), (180388, 2.362723163517524), (179111, 2.3560312752128953)]","int kvm_emulate_halt(struct kvm_vcpu *vcpu)
{
	kvm_x86_ops->skip_emulated_instruction(vcpu);
	return kvm_vcpu_halt(vcpu);
}
"
